Palabra,FrecPos,FrecNeg,LogPos,LogNeg,LogP(POS),LogP(NEG)
ive,14,9,-5.003498778526936,-5.415211118019536,-0.677711372430106,-0.7088249932791751
also,10,10,-5.313653706830776,-5.319900938215211,-0.677711372430106,-0.7088249932791751
had,19,24,-4.715816706075155,-4.498920386145381,-0.677711372430106,-0.7088249932791751
problems,6,4,-5.765638830573833,-6.108358298579481,-0.677711372430106,-0.7088249932791751
with,61,44,-3.5844145945840546,-3.911133721243262,-0.677711372430106,-0.7088249932791751
the,207,253,-2.374010899927828,-2.180461943995045,-0.677711372430106,-0.7088249932791751
phone,71,70,-3.4348828606130906,-3.455116333972266,-0.677711372430106,-0.7088249932791751
reading,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
memory,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
card,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
in,29,50,-4.31035159796699,-3.785970578289256,-0.677711372430106,-0.7088249932791751
which,5,8,-5.919789510401091,-5.5205716336773625,-0.677711372430106,-0.7088249932791751
i,139,144,-2.7699065570198416,-2.7410624685930074,-0.677711372430106,-0.7088249932791751
always,1,3,-7.018401799069201,-6.331501849893691,-0.677711372430106,-0.7088249932791751
turn,1,4,-7.018401799069201,-6.108358298579481,-0.677711372430106,-0.7088249932791751
it,110,141,-3.002018778316812,-2.7619691534123207,-0.677711372430106,-0.7088249932791751
on,41,42,-3.973879361345778,-3.956596095320019,-0.677711372430106,-0.7088249932791751
and,167,114,-2.587585000225887,-2.9728640826503314,-0.677711372430106,-0.7088249932791751
then,2,14,-6.612936690961036,-5.009746009911372,-0.677711372430106,-0.7088249932791751
off,2,10,-6.612936690961036,-5.319900938215211,-0.677711372430106,-0.7088249932791751
again,6,5,-5.765638830573833,-5.926036741785527,-0.677711372430106,-0.7088249932791751
linked,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
to,76,102,-3.367743557775462,-3.083067222783946,-0.677711372430106,-0.7088249932791751
my,62,67,-3.5684142532376133,-3.498288505837475,-0.677711372430106,-0.7088249932791751
without,5,1,-5.919789510401091,-7.024649030453636,-0.677711372430106,-0.7088249932791751
effort,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
got,6,3,-5.765638830573833,-6.331501849893691,-0.677711372430106,-0.7088249932791751
this,89,90,-3.211739309298881,-3.2069367044967314,-0.677711372430106,-0.7088249932791751
reccomendation,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
from,14,16,-5.003498778526936,-4.884582866957365,-0.677711372430106,-0.7088249932791751
a,85,104,-3.257201683375638,-3.063835860856058,-0.677711372430106,-0.7088249932791751
relative,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
im,11,9,-5.2266423298411455,-5.415211118019536,-0.677711372430106,-0.7088249932791751
glad,3,0,-6.3252546185092555,-7.717796211013582,-0.677711372430106,-0.7088249932791751
did,5,8,-5.919789510401091,-5.5205716336773625,-0.677711372430106,-0.7088249932791751
lately,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
they,8,8,-5.514324402292926,-5.5205716336773625,-0.677711372430106,-0.7088249932791751
have,33,31,-4.185188455012985,-4.2520603082138555,-0.677711372430106,-0.7088249932791751
been,10,3,-5.313653706830776,-6.331501849893691,-0.677711372430106,-0.7088249932791751
extremely,1,2,-7.018401799069201,-6.619183922345472,-0.677711372430106,-0.7088249932791751
nice,21,0,-4.62050652627083,-7.717796211013582,-0.677711372430106,-0.7088249932791751
helpful,2,2,-6.612936690961036,-6.619183922345472,-0.677711372430106,-0.7088249932791751
great,84,5,-3.2688977231388296,-5.926036741785527,-0.677711372430106,-0.7088249932791751
case,15,10,-4.938960257389365,-5.319900938215211,-0.677711372430106,-0.7088249932791751
price,22,2,-4.576054763699997,-6.619183922345472,-0.677711372430106,-0.7088249932791751
now,6,9,-5.765638830573833,-5.415211118019536,-0.677711372430106,-0.7088249932791751
know,2,3,-6.612936690961036,-6.331501849893691,-0.677711372430106,-0.7088249932791751
that,28,44,-4.344253149642672,-3.911133721243262,-0.677711372430106,-0.7088249932791751
made,5,6,-5.919789510401091,-5.771886061958268,-0.677711372430106,-0.7088249932791751
wise,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
decision,2,1,-6.612936690961036,-7.024649030453636,-0.677711372430106,-0.7088249932791751
thank,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
you,18,43,-4.767110000462706,-3.9336065770953206,-0.677711372430106,-0.7088249932791751
for,57,47,-3.6511059690827268,-3.846595200105691,-0.677711372430106,-0.7088249932791751
such,1,2,-7.018401799069201,-6.619183922345472,-0.677711372430106,-0.7088249932791751
service,8,14,-5.514324402292926,-5.009746009911372,-0.677711372430106,-0.7088249932791751
noise,3,0,-6.3252546185092555,-7.717796211013582,-0.677711372430106,-0.7088249932791751
shield,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
is,122,90,-2.8993646242567284,-3.2069367044967314,-0.677711372430106,-0.7088249932791751
incrediable,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
unusable,0,2,-7.711548979629146,-6.619183922345472,-0.677711372430106,-0.7088249932791751
